Code,Count
07105,153
11101,128
03102,127
13103,122
07199,120
13101,112
02108,105
13199,104
01315,102
03108,101
04103,99
07109,99
11117,96
13102,96
01308,95
04114,91
07106,89
11104,87
03103,87
10114,84
07110,84
18418,84
10109,79
18302,78
11113,78
11131,77
03105,77
10127,75
02199,74
10116,74
14108,73
18324,72
14402,72
18416,72
01220,72
07114,72
14501,72
02105,71
14802,71
10104,71
11105,69
07111,69
04108,67
11108,67
07125,66
14199,66
03104,66
07116,66
03107,66
14104,66
07122,66
07115,66
18315,65
07113,65
07103,64
11112,63
10105,63
04113,63
18409,62
18314,62
18401,62
04110,60
18312,60
07120,60
18201,60
18316,60
10112,60
01199,60
10101,59
04118,59
18408,59
10103,59
18313,59
07126,57
02109,57
07108,57
18414,56
99101,56
10111,56
15150,56
18407,56
01101,55
18413,54
01320,54
06107,54
09232,54
05118,54
18425,54
14806,54
14105,54
14503,54
18424,54
04117,54
16105,54
05199,54
18327,53
14602,52
01305,51
01314,51
07101,51
13108,51
03110,51
10135,51
01324,51
16101,51
07118,51
10120,51
14615,51
01306,51
14599,51
05111,51
05105,51
11110,51
09298,50
01326,50
02112,50
01123,50
10136,50
04109,50
10138,50
18499,49
10118,48
15109,48
01214,48
13104,48
14102,48
06104,48
09203,48
01309,48
14811,48
04107,48
16106,48
11129,48
01117,47
02107,47
01201,47
14608,47
01331,47
14699,47
01108,46
03199,46
05115,45
05110,45
04102,45
10119,45
11119,45
18420,45
01310,45
11132,45
02101,45
09219,45
18321,45
18306,45
11124,45
10113,45
09209,45
03112,44
11102,44
99102,44
05113,44
04121,44
18318,44
04101,43
18399,42
01337,42
10128,42
09229,42
11118,42
18428,42
01330,42
08107,42
01136,42
18412,42
10110,42
14107,42
14499,42
01299,42
14404,42
14616,41
09223,41
11122,41
10133,41
01125,40
04106,40
01102,40
11134,39
02106,39
08108,39
09228,39
13106,39
04116,39
10126,39
18419,39
18320,39
14799,39
05116,39
02117,39
18203,39
11135,39
09205,39
06105,39
18308,39
01218,39
18299,39
15106,39
18317,39
18417,39
01333,39
06199,39
11107,38
15107,38
11199,38
13105,38
11116,38
05106,36
09297,36
11103,36
02119,36
01307,36
08199,36
09112,36
01316,36
14801,36
01329,36
12108,36
01336,36
18322,36
07123,36
06102,36
01124,36
10106,35
09227,35
16103,35
01328,35
15111,35
18421,35
01113,35
10123,35
01139,35
18410,35
02120,34
01209,34
08101,34
10102,33
14610,33
14604,33
11125,33
14614,33
09218,33
03111,33
14601,33
09201,33
01340,33
15108,33
01132,33
09127,33
02128,33
16199,33
18311,33
18426,33
14119,33
18319,33
14810,33
10199,33
01311,32
09130,32
07117,32
10129,32
01140,32
18328,32
15199,31
01138,31
03109,30
09111,30
14804,30
09103,30
18303,30
08110,30
05109,30
15113,30
14110,30
18204,30
11128,30
14502,30
06106,30
11123,30
18304,30
18305,30
18432,30
01313,30
02111,30
02133,30
02135,30
06103,30
03101,30
07102,30
02123,30
01318,30
08105,30
11126,30
14899,30
18430,29
09110,29
03106,29
09211,29
02132,29
99103,29
09213,29
01107,29
18423,29
05101,29
01104,29
18415,28
02113,28
10117,28
08104,27
01322,27
16104,27
18411,27
09299,27
04105,27
12106,27
01323,27
09225,27
09131,27
01137,27
09109,27
05103,27
06109,27
09207,27
05104,27
18202,27
08103,27
14101,27
14612,27
18103,27
09106,27
02134,27
07112,27
01332,27
01134,27
14302,26
05114,26
09113,26
10107,26
02136,26
10124,26
05107,26
09108,26
14807,26
01119,25
15104,25
15105,25
12107,24
09204,24
07119,24
07124,24
18326,24
01106,24
01215,24
10137,24
18427,24
18429,24
02103,24
01213,24
09128,23
12101,23
08109,23
02138,21
09220,21
09210,21
06108,21
01105,21
09208,21
15102,20
06101,20
11106,18
14611,18
01223,18
04115,18
09236,18
01221,18
14403,18
13107,18
12199,18
14617,18
10125,18
14122,18
14121,18
14703,18
16107,18
01312,18
01202,18
09222,18
15110,18
11127,18
18406,18
09233,18
02126,18
09124,18
09216,18
09221,18
14808,18
17199,18
09226,18
01302,18
14603,18
17101,18
14613,18
05102,18
09206,18
02102,17
15100,17
09132,17
02110,17
14304,17
12104,17
01126,16
08106,16
09198,16
02118,15
02122,15
14606,15
08102,15
10132,15
01122,15
16100,15
18301,12
18199,12
03113,12
18101,12
04104,12
01131,12
01327,12
01303,12
15101,12
18431,10
01219,6
